Date,Open,High,Low,Close,Adj Close,Volume
20150102,206.380005,206.880005,198.860001,202.309998,172.849808,625596600
20150109,204.009995,206.419998,198.570007,200.860001,171.610977,857725600
20150116,201.630005,203.660004,198.550003,203.080002,173.507751,642427300
20150123,203.990005,206.259995,199.910004,200.139999,170.995834,686441400
20150130,200.380005,205.380005,197.860001,204.059998,174.345032,792941700
20150206,204.860001,207.449997,204.139999,206.929993,176.797058,498096200
20150213,207.889999,210.320007,206.970001,210.130005,179.531113,348837400
20150220,209.410004,212.240005,208.729996,211.630005,180.812698,452304000
20150227,211.520004,212.059998,209.059998,210.229996,179.616547,493088300
20150306,210.619995,210.800003,204.399994,204.5,174.720963,622086900
20150313,205.259995,211.270004,204.580002,210.460007,179.813065,715822500
20150320,209.960007,211.110001,205.710007,205.759995,175.79744,604743900
20150327,204.960007,208.610001,204.119995,205.699997,176.530716,632258900
20150402,205.619995,208.759995,205.210007,207.979996,178.487381,371857300
20150410,207.779999,211.039993,207.190002,210.429993,180.589981,407337600
20150417,210.029999,210.979996,207.009995,210.630005,180.761551,503062000
20150424,210.149994,212.479996,209.330002,210.570007,180.710083,455819800
20150501,209.880005,212.020004,206.759995,208.039993,178.538818,584018200
20150508,207.919998,211.889999,207.520004,210.020004,180.238083,534225800
20150515,211.240005,213.779999,210.910004,212.880005,182.692551,395965900
20150522,212.710007,213.75,210.199997,212.699997,182.538071,339720700
20150529,212.330002,212.669998,210.270004,211.919998,181.868652,472584900
20150605,211.070007,211.860001,207.690002,210.949997,181.036209,602236800
20150612,211.479996,212.089996,207.789993,210.589996,180.727264,545659800
20150619,211.309998,213.339996,210.360001,210.5,180.650009,527826700
20150626,211.100006,211.25,205.279999,207.5,178.941605,722808500
20150702,208.070007,208.270004,204.110001,204.529999,176.380432,560189400
20150710,207.039993,211.279999,204.770004,210.610001,181.623596,559263100
20150717,211.869995,213.179993,210.889999,211.369995,182.278976,432793000
20150724,211.529999,211.649994,206.259995,210.770004,181.761566,569961300
20150731,210.160004,211.449997,208.649994,210.070007,181.157928,476144600
20150807,210.289993,210.669998,205.360001,208.919998,180.166183,612364600
20150814,208.729996,210.679993,207.350006,208.320007,179.648804,485881100
20150821,206.509995,208.289993,182.399994,194.460007,167.696365,1757250800
20150828,197.020004,199.839996,190.729996,195.410004,168.515594,1014126800
20150904,196.259995,199.470001,191.610001,194.789993,167.980942,624542200
20150911,194.559998,200.410004,194.25,200.179993,172.629105,571142100
20150918,200.020004,202.889999,192.559998,193.600006,166.954697,852111800
20150925,192.149994,195,186.929993,191.630005,166.115005,815447100
20151002,192.080002,199.830002,189.119995,199.410004,172.859116,702984900
20151009,198.949997,202.160004,198.589996,199.289993,172.755035,503664900
20151016,200.080002,203.839996,199.639999,201.850006,174.974197,505732700
20151023,202.979996,208.979996,201.850006,208.949997,181.12886,602199500
20151030,208.350006,211.660004,207.740005,210.360001,182.351151,499343800
20151106,210.429993,210.979996,206.949997,207.740005,180.079971,463609500
20151113,206.5,208.899994,202.179993,208.729996,180.938171,635003700
20151120,208.589996,210.119995,207.410004,209.320007,181.449615,398017700
20151127,209.429993,211,208.229996,208.529999,180.764816,356440200
20151204,208.830002,209.970001,204.179993,205.339996,177.999512,726939100
20151211,205.419998,208.389999,199.949997,208.029999,180.33136,860774000
20151218,208.399994,208.479996,199.830002,206.020004,178.58902,745593700
20151224,205.720001,207.789993,203.940002,205.929993,179.573364,270397900
20151231,205.130005,205.889999,197.600006,198.820007,173.373367,600189800
20160108,195.330002,197.440002,188.380005,188.830002,164.661957,1004694000
20160115,189.550003,193.259995,181.020004,185.649994,161.888962,1047434200
20160122,186.210007,191.559998,184.639999,188.130005,164.051544,821182700
20160129,189.960007,194.580002,187.100006,191.300003,166.815887,878009500
20160205,190.710007,192.75,182.800003,185.270004,161.557602,844574000
20160212,182.339996,193.320007,181.089996,192.880005,168.193588,602951500
20160219,193.199997,194.949997,189.320007,193.199997,168.472672,583043800
20160226,193.729996,199.059998,192.830002,199,173.530319,610694800
20160304,198.789993,201.350006,198.110001,199.380005,173.861755,543460900
20160311,199.960007,203.820007,197.380005,203.339996,177.31488,590887500
20160318,203.240005,205.229996,202.770004,203.210007,177.201492,524102000
20160324,202,206.869995,201.740005,206.020004,180.57843,326057300
20160401,205.910004,207.139999,203.889999,206.419998,180.929077,464006600
20160408,205.139999,208.100006,203.089996,208,182.313919,504344100
20160415,208.070007,210.919998,207,210.100006,184.154587,392921900
20160422,210.119995,210.25,207.539993,209.350006,183.497177,404306800
20160429,208.460007,209.759995,204.419998,205.009995,179.693146,500494200
20160506,205.559998,208.539993,203.880005,206.5,180.999161,390508300
20160513,207.289993,207.490005,203.630005,204.910004,179.605484,498534700
20160520,204.059998,209.770004,202.779999,209.279999,183.435822,449262700
20160527,209.440002,210.690002,208.889999,210.270004,184.303635,299307500
20160603,209.800003,212.520004,208.860001,212.369995,186.144257,356834500
20160610,211.509995,212.220001,206.919998,207.75,182.094772,539551100
20160617,207.75,209.610001,205.589996,208.100006,182.401611,517400600
20160624,209.809998,210.869995,198.649994,206.660004,182.08139,963662600
20160701,207.210007,210.490005,206.559998,209.660004,184.724564,476902400
20160708,209.869995,215.449997,208.630005,214.919998,189.359009,481798400
20160715,216.399994,217.369995,215.309998,217.089996,191.270935,369617400
20160722,216.960007,217.300003,215.619995,216.520004,190.768723,340602300
20160729,216.289993,217.649994,214.570007,216.179993,190.469162,364155600
20160805,216.309998,218.759995,214.25,217.639999,191.755524,267577000
20160812,218.259995,219.5,217.020004,218.369995,192.398697,311979200
20160819,218.339996,219.600006,217.360001,217.850006,191.940506,314929200
20160826,217.399994,219.119995,216.25,217.380005,191.526443,405617300
20160902,217.369995,219.220001,216.029999,219.009995,192.962555,310395100
20160909,218.619995,218.940002,212.309998,213.149994,187.79953,780817200
20160916,212.960007,216.029999,212.570007,215.820007,190.151962,549864500
20160923,217,217.529999,213.619995,216.639999,191.838654,406042700
20160930,216.399994,217.119995,213.990005,215.630005,190.944275,521549700
20161007,215.369995,216.699997,212.580002,213.710007,189.244064,408804200
20161014,212.160004,214.690002,211.210007,214.279999,189.748825,396367800
20161021,213.869995,215.320007,212.759995,213.740005,189.270584,365123300
20161028,214.580002,214.619995,209.229996,209.740005,185.728546,505228500
20161104,209.990005,217.100006,208.380005,216.380005,191.608414,673057400
20161111,217.300003,218.309998,215.220001,217.869995,192.927826,524516300
20161118,218.050003,220.789993,217.919998,220.699997,195.433823,352514800
20161125,221.100006,221.820007,220.169998,220.380005,195.150452,297623300
20161202,220.729996,224.669998,219.149994,224.600006,198.887375,392334100
20161209,224.570007,228.339996,224.259995,225.880005,200.020813,542715600
20161216,226.160004,227.809998,224.669998,225.770004,199.923386,529481700
20161223,225.600006,226.729996,224.270004,224.399994,199.88147,199684400
20161230,224.479996,226.75,222.729996,226.580002,201.823288,327805300
20170106,226.270004,227.75,225.479996,227.100006,202.286514,335300500
20170113,226.5,227.399994,224.960007,226.75,201.974701,250865200
20170120,226.839996,229.570007,225.270004,229.570007,204.486618,450832000
20170127,229.399994,229.710007,226.320007,227.619995,202.749619,354417600
20170203,227.619995,229.660004,226.820007,229.240005,204.192642,317508300
20170210,229.240005,235.139999,229.240005,234.919998,209.251953,345048000
20170217,234.949997,236.690002,233.850006,236.279999,210.46344,312987800
20170224,236.880005,240.320007,235.410004,239.779999,213.581009,459633000
20170303,239.559998,239.570007,236.399994,236.559998,210.71283,350884300
20170310,236.699997,239.440002,235.740005,238.949997,212.841721,385895000
20170317,239.110001,239.199997,233.050003,234.279999,208.681992,449261600
20170324,234.279999,235.809998,231.610001,235.539993,210.71698,455804000
20170331,235.470001,237.389999,233.910004,234.779999,210.037109,381284300
20170407,234.940002,236.259995,233.339996,234.029999,209.366135,381073100
20170413,233.639999,234.949997,232.509995,233.440002,208.838364,313211500
20170421,234.149994,239.529999,233.779999,238.399994,213.275604,483572700
20170428,238.770004,239.169998,237.699997,238.479996,213.347153,318339000
20170505,238.830002,240.190002,237.779999,239.869995,214.590714,277506700
20170512,239.350006,240.669998,235.75,235.820007,210.967529,401605800
20170519,235.729996,240.729996,235.429993,240.610001,215.252762,378339100
20170526,241.199997,242.080002,240.639999,241.440002,215.995239,237699500
20170602,241.970001,244.350006,241.639999,243.660004,217.981247,306846600
20170609,243.770004,245.009995,241.949997,244.240005,218.500168,422984500
